AREA|CODE
 Amesbury, Essex, MA|16607
 Andover, Essex, MA|16545
 Bedford, Westchester, NY|16620
 Belchertown, Hampshire, MA|16630
 Beloit, Rock, WI|16519
 Bethel, Fairfield, CT|16586
 Canandaigua, Ontario, NY|16571
 Chester, Orange, NY|16665
 Colchester, New London, CT|16608
 Colonie, Albany, NY|16504
 Corning, Steuben, NY|16629
 De Pere, Brown, WI|16556
 Delafield, Waukesha, WI|16637
 Delavan, Walworth, WI|16652
 Duxbury, Plymouth, MA|16664
 Elmira, Chemung, NY|16516
 Exeter, Rockingham, NH|16646
 Falmouth, Barnstable, MA|16691
 Fishkill, Dutchess, NY|16612
 Gorham, Cumberland, ME|16631
 Goshen, Orange, NY|16642
 Great Barrington, Berkshire, MA|16697
 Greece, Monroe, NY|16499
 Groton, New London, CT|16593
 Hamburg, Erie, NY|16509
 Hampton, Rockingham, NH|16647
 Hartford, Washington, WI|16596
 Hempstead, Nassau, NY|16505
 Hingham, Plymouth, MA|16601
 Hooksett, Merrimack, NH|16641
 Hopkinton, Middlesex, MA|16611
 Horseheads, Chemung, NY|16606
 Hudson, Hillsborough, NH|16568
 Islip, Suffolk, NY|16660
 Janesville, Rock, WI|16507
 Kaukauna, Outagamie, WI|16662
 Kennebunk, York, ME|16669
 Lake George, Warren, NY|16704
 Lenox, Berkshire, MA|16699
 Liberty, Sullivan, NY|16696
 Litchfield, Litchfield, CT|16684
 Lockport, Niagara, NY|16527
 Londonderry, Rockingham, NH|16567
 Ludlow, Windsor, VT|16707
 Mamaroneck, Westchester, NY|16591
 Manlius, Onondaga, NY|16559
 Mansfield, Tolland, CT|16555
 Marshfield, Plymouth, MA|16560
 Menasha, Winnebago, WI|16557
 Meredith, Belknap, NH|16693
 Milford, Hillsborough, NH|16624
 Milford, Worcester, MA|16543
 Montgomery, Orange, NY|16633
 Nantucket, Nantucket, MA|16674
 New Milford, Litchfield, CT|16575
 Newburgh, Orange, NY|16512
 Newport, Orleans, VT|16694
 Niskayuna, Schenectady, NY|16540
 Oconomowoc, Waukesha, WI|16595
 Orchard Park, Erie, NY|16536
 Oswego, Oswego, NY|16551
 Owego, Tioga, NY|16588
 Pawling, Dutchess, NY|16681
 Pewaukee, Waukesha, WI|16675
 Pittsford, Monroe, NY|16539
 Plattsburgh, Clinton, NY|16550
 Poughkeepsie, Dutchess, NY|16501
 Ridgefield, Fairfield, CT|16553
 Rotterdam, Schenectady, NY|16546
 Rutland, Rutland, VT|16573
 Sandwich, Barnstable, MA|16673
 Sanford, York, ME|16625
 Shelter Island, Suffolk, NY|16709
 Springfield, Windsor, VT|16679
 Stony Point, Rockland, NY|16618
 Stowe, Lamoille, VT|16700
 Sun Prairie, Dane, WI|16598
 Tiverton, Newport, RI|16623
 Verona, Dane, WI|16659
 Warwick, Orange, NY|16614
 Watertown, Jefferson, NY|16534
 West Bend, Washington, WI|16529
 Westerly, Washington, RI|16576
 Wilbraham, Hampden, MA|16636
 Wolfeboro, Carroll, NH|16692
Aaronsburg, Centre County, PA|72006
Aaronsburg, PA|64286
Abbeville, AL|42959
Abbeville, Abbeville County, SC|65031
Abbeville, Abbeville, SC|5260
Abbeville, GA|45139
Abbeville, Henry County, AL|25666
Abbeville, Henry, AL|4603
Abbeville, LA|38224
Abbeville, Lafayette County, MS|34988
Abbeville, Lafayette, MS|12155
Abbeville, MS|49032
Abbeville, SC|39904
Abbeville, Vermilion Parish, LA|24248
Abbeville, Vermilion, LA|7467
Abbeville, Wilcox County, GA|65517
Abbot, ME|58195
